2026-01-17 18:36:27,972 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Hide.'
2026-01-17 18:36:27,972 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:36:32,591 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:33,895 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Hide.'
2026-01-17 18:36:33,896 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:36:34,146 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:36,904 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:38,665 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Stop it.'
2026-01-17 18:36:38,665 | INFO | interrupt-agent | 🛑 INTERRUPT detected — stopping agent
2026-01-17 18:36:38,666 | INFO | interrupt-agent | Agent speaking: 'Okay, stopping.'
2026-01-17 18:36:38,986 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:41,656 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:44,102 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:49,675 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:49,765 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Yeah.'
2026-01-17 18:36:49,765 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:36:52,267 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:53,540 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:55,292 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Great work.'
2026-01-17 18:36:55,292 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:36:57,697 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:59,937 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:00,464 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:02,602 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Good then.'
2026-01-17 18:37:02,602 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:37:03,139 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:04,896 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:06,899 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:09,756 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:11,789 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:13,796 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:14,740 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:37:15,511 | INFO | livekit.agents | draining worker
2026-01-17 18:37:16,122 | WARNING | livekit.agents | exiting forcefully
